[2026-04-22 20:37:33] Res: EXITOSO | Vel: 1.28 | Fuel: 52.0%
[2026-04-22 20:38:06] Res: EXITOSO | Vel: 0.89 | Fuel: 50.5%
[2026-04-22 20:38:18] Res: CHOQUE | Vel: 4.04 | Fuel: 100.0%
[2026-04-22 20:38:30] Res: CRASH | Vel: 15.03 | Fuel: 25.5%
[2026-04-22 20:38:40] Res: CRASH | Vel: 9.63 | Fuel: 79.5%
[2026-04-22 20:38:47] Res: CHOQUE | Vel: 3.12 | Fuel: 54.0%
[2026-04-22 21:00:11] Nivel: 5 | Res: CÁPSULA DESTRUIDA | Vel: 2.87 | Fuel: 37.5%
[2026-04-22 21:00:15] Nivel: 5 | Res: ATERRIZAJE PERFECTO | Vel: 2.31 | Fuel: 35.5%
[2026-04-22 21:00:19] Nivel: 6 | Res: CÁPSULA DESTRUIDA | Vel: 3.29 | Fuel: 33.0%
[2026-04-22 21:00:25] Nivel: 6 | Res: CRASH / FUERA DE RUTA | Vel: 7.19 | Fuel: 50.0%
[2026-04-22 21:00:29] Nivel: 6 | Res: CRASH / FUERA DE RUTA | Vel: 5.58 | Fuel: 46.5%
[2026-04-28 20:50:11] Nivel: 1 | Res: CRASH / FUERA DE RUTA | Vel: 11.16 | Fuel: 0.0%
[2026-04-28 20:50:19] Nivel: 1 | Res: CÁPSULA DESTRUIDA | Vel: 6.85 | Fuel: 60.5%
[2026-04-28 20:50:34] Nivel: 1 | Res: CÁPSULA DESTRUIDA | Vel: 10.68 | Fuel: 0.0%
[2026-04-28 20:50:36] Nivel: 1 | Res: CRASH / FUERA DE RUTA | Vel: 11.16 | Fuel: 0.0%
[2026-04-28 20:50:38] Nivel: 1 | Res: CÁPSULA DESTRUIDA | Vel: 10.68 | Fuel: 0.0%
[2026-04-28 20:50:40] Nivel: 1 | Res: CRASH / FUERA DE RUTA | Vel: 11.16 | Fuel: 0.0%
[2026-04-28 20:50:42] Nivel: 1 | Res: CRASH / FUERA DE RUTA | Vel: 11.16 | Fuel: 0.0%
[2026-04-28 20:50:44] Nivel: 1 | Res: CÁPSULA DESTRUIDA | Vel: 10.68 | Fuel: 0.0%
[2026-04-28 20:50:47] Nivel: 1 | Res: CRASH / FUERA DE RUTA | Vel: 11.16 | Fuel: 0.0%
[2026-04-28 20:50:49] Nivel: 1 | Res: CÁPSULA DESTRUIDA | Vel: 10.68 | Fuel: 0.0%
[2026-04-28 20:50:52] Nivel: 1 | Res: CRASH / FUERA DE RUTA | Vel: 11.16 | Fuel: 0.0%
[2026-04-28 20:50:57] Nivel: 1 | Res: CRASH / FUERA DE RUTA | Vel: -3.30 | Fuel: 39.0%
[2026-04-28 20:52:00] Nivel: 1 | Res: CRASH / FUERA DE RUTA | Vel: 9.95 | Fuel: 11.5%
[2026-04-28 20:52:11] Nivel: 1 | Res: CRASH / FUERA DE RUTA | Vel: 9.73 | Fuel: 6.5%
[2026-04-28 20:59:57] Nivel: 1 | Res: CÁPSULA DESTRUIDA | Vel: 10.68 | Fuel: 0.0%
[2026-04-28 21:00:07] Nivel: 1 | Res: ATERRIZAJE PERFECTO | Vel: 2.24 | Fuel: 64.0%
[2026-04-28 21:00:14] Nivel: 2 | Res: ATERRIZAJE PERFECTO | Vel: 1.30 | Fuel: 61.0%
[2026-04-28 21:00:17] Nivel: 3 | Res: CÁPSULA DESTRUIDA | Vel: 3.55 | Fuel: 13.5%
[2026-04-28 21:00:22] Nivel: 3 | Res: ATERRIZAJE PERFECTO | Vel: 1.98 | Fuel: 41.0%
